normal,,,,abnormal,,,Anomaly_level,Anomaly_alarm
count,left,right,,count,left,right,25,0
13,9.84E-05,0.000100333,,7,0.000131186,0.000140625,,
47,0.000100333,0.000102271,,20,0.000140625,0.000150064,,
76,0.000102271,0.00010421,,50,0.000150064,0.000159503,,
148,0.00010421,0.000106148,,104,0.000159503,0.000168942,,
214,0.000106148,0.000108086,,190,0.000168942,0.000178381,,
231,0.000108086,0.000110024,,299,0.000178381,0.00018782,,
275,0.000110024,0.000111962,,364,0.00018782,0.000197259,,
335,0.000111962,0.0001139,,437,0.000197259,0.000206698,,
391,0.0001139,0.000115838,,467,0.000206698,0.000216137,,
335,0.000115838,0.000117777,,467,0.000216137,0.000225577,,
271,0.000117777,0.000119715,,340,0.000225577,0.000235016,,
271,0.000119715,0.000121653,,276,0.000235016,0.000244455,,
150,0.000121653,0.000123591,,240,0.000244455,0.000253894,,
112,0.000123591,0.000125529,,189,0.000253894,0.000263333,,
85,0.000125529,0.000127467,,135,0.000263333,0.000272772,,
47,0.000127467,0.000129406,,93,0.000272772,0.000282211,,
23,0.000129406,0.000131344,,70,0.000282211,0.00029165,,
6,0.000131344,0.000133282,,34,0.00029165,0.000301089,,
5,0.000133282,0.00013522,,12,0.000301089,0.000310528,,
2,0.00013522,0.000137158,,2,0.000310528,0.000319967,,
